Date,Open,High,Low,Close,Adj Close,Volume
2021-12-20,2.810000,3.120000,2.560000,3.050000,3.050000,728200
2021-12-21,7.510000,8.250000,5.100000,5.450000,5.450000,75525500
2021-12-22,4.810000,5.230000,4.050000,4.840000,4.840000,5910300
2021-12-23,4.610000,4.620000,4.130000,4.320000,4.320000,1945300
2021-12-27,4.180000,5.920000,4.170000,5.310000,5.310000,10183300
2021-12-28,7.160000,7.350000,5.680000,6.020000,6.020000,46210200
2021-12-29,5.860000,6.700000,5.270000,6.250000,6.250000,7328100
2021-12-30,7.520000,7.730000,6.370000,6.570000,6.570000,23627300
2021-12-31,6.310000,6.980000,6.010000,6.440000,6.440000,3517600
2022-01-03,6.510000,9.550000,6.300000,7.580000,7.580000,25503800
2022-01-04,6.990000,10.090000,6.810000,9.320000,9.320000,52124800
2022-01-05,8.440000,10.490000,8.130000,8.900000,8.900000,24179700
2022-01-06,8.968000,9.560000,6.500000,6.750000,6.750000,6626100
2022-01-07,6.790000,7.390000,5.680000,6.100000,6.100000,4000200
2022-01-10,6.471000,8.350000,6.450000,7.860000,7.860000,14804100
2022-01-11,8.027000,8.630000,7.590000,8.060000,8.060000,8423600
2022-01-12,7.940000,8.570000,7.390000,8.090000,8.090000,5826400
2022-01-13,8.020000,8.190000,7.200000,7.930000,7.930000,3918000
2022-01-14,7.550000,9.340000,7.310000,8.960000,8.960000,10118700
